"batchId ,",23.0,",overall_accuracy, ",74.70434782608696,",step_accuracy, ",76.0,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",24.0,",overall_accuracy, ",74.70833333333333,",step_accuracy, ",74.8,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",25.0,",overall_accuracy, ",74.58399999999999,",step_accuracy, ",71.6,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",26.0,",overall_accuracy, ",74.66153846153846,",step_accuracy, ",76.6,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",27.0,",overall_accuracy, ",74.82962962962964,",step_accuracy, ",79.2,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",28.0,",overall_accuracy, ",74.74285714285715,",step_accuracy, ",72.39999999999999,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",29.0,",overall_accuracy, ",74.6896551724138,",step_accuracy, ",73.2,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",30.0,",overall_accuracy, ",74.60666666666667,",step_accuracy, ",72.2,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",31.0,",overall_accuracy, ",74.58709677419355,",step_accuracy, ",74.0,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",32.0,",overall_accuracy, ",74.46249999999999,",step_accuracy, ",70.6,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",33.0,",overall_accuracy, ",74.47878787878788,",step_accuracy, ",75.0,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",34.0,",overall_accuracy, ",74.37647058823529,",step_accuracy, ",71.0,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",35.0,",overall_accuracy, ",74.42857142857143,",step_accuracy, ",76.2,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",36.0,",overall_accuracy, ",74.3,",step_accuracy, ",69.8,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",37.0,",overall_accuracy, ",74.31891891891892,",step_accuracy, ",75.0,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",38.0,",overall_accuracy, ",74.25263157894737,",step_accuracy, ",71.8,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",39.0,",overall_accuracy, ",74.18461538461538,",step_accuracy, ",71.6,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",40.0,",overall_accuracy, ",74.13499999999999,",step_accuracy, ",72.2,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",41.0,",overall_accuracy, ",74.21463414634147,",step_accuracy, ",77.4,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
"batchId ,",42.0,",overall_accuracy, ",74.32857142857144,",step_accuracy, ",79.0,",models, ","Counter({'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1, 'ResNet50V2': 1, 'MobileNetV2': 1, 'NASNetMobile': 1})",",",7,",",None
