"batchId ,",18.0,",overall_accuracy, ",76.5,",step_accuracy, ",72.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",19.0,",overall_accuracy, ",76.47368421052632,",step_accuracy, ",76.0,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",20.0,",overall_accuracy, ",76.375,",step_accuracy, ",74.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",21.0,",overall_accuracy, ",76.57142857142857,",step_accuracy, ",80.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",22.0,",overall_accuracy, ",76.25,",step_accuracy, ",69.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",23.0,",overall_accuracy, ",76.39130434782608,",step_accuracy, ",79.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",24.0,",overall_accuracy, ",76.4375,",step_accuracy, ",77.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",25.0,",overall_accuracy, ",76.48,",step_accuracy, ",77.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",26.0,",overall_accuracy, ",76.59615384615385,",step_accuracy, ",79.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",27.0,",overall_accuracy, ",76.68518518518519,",step_accuracy, ",79.0,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",28.0,",overall_accuracy, ",76.60714285714286,",step_accuracy, ",74.5,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",29.0,",overall_accuracy, ",76.79310344827586,",step_accuracy, ",82.0,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",30.0,",overall_accuracy, ",76.66666666666667,",step_accuracy, ",73.0,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
"batchId ,",31.0,",overall_accuracy, ",76.54838709677419,",step_accuracy, ",73.0,",models, ","Counter({'InceptionResNetV2': 1, 'MobileNet': 1, 'ResNet50': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'Xception': 1, 'NASNetMobile': 1})",",",10,",",None
