"batchId ,",33.0,",overall_accuracy, ",69.65151515151516,",step_accuracy, ",74.5,",models, ",Counter({'MobileNetV2': 1}),",",1,",","[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f396464df28>]]"
"batchId ,",34.0,",overall_accuracy, ",69.6470588235294,",step_accuracy, ",69.5,",models, ",Counter({'MobileNetV2': 1}),",",1,",",None
"batchId ,",35.0,",overall_accuracy, ",69.6,",step_accuracy, ",68.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",['MobileNet']
"batchId ,",36.0,",overall_accuracy, ",69.48611111111111,",step_accuracy, ",65.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",37.0,",overall_accuracy, ",69.4054054054054,",step_accuracy, ",66.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",38.0,",overall_accuracy, ",69.25,",step_accuracy, ",63.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",39.0,",overall_accuracy, ",69.1025641025641,",step_accuracy, ",63.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",40.0,",overall_accuracy, ",69.1125,",step_accuracy, ",69.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",41.0,",overall_accuracy, ",69.1341463414634,",step_accuracy, ",70.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",42.0,",overall_accuracy, ",69.14285714285714,",step_accuracy, ",69.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",43.0,",overall_accuracy, ",69.05813953488372,",step_accuracy, ",65.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",44.0,",overall_accuracy, ",69.0,",step_accuracy, ",66.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",45.0,",overall_accuracy, ",69.03333333333333,",step_accuracy, ",70.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",46.0,",overall_accuracy, ",69.04347826086956,",step_accuracy, ",69.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",47.0,",overall_accuracy, ",69.06382978723404,",step_accuracy, ",70.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",48.0,",overall_accuracy, ",69.03125,",step_accuracy, ",67.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",49.0,",overall_accuracy, ",69.08163265306122,",step_accuracy, ",71.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",50.0,",overall_accuracy, ",69.12,",step_accuracy, ",71.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",51.0,",overall_accuracy, ",69.19607843137256,",step_accuracy, ",73.0,",models, ",Counter({'MobileNet': 1}),",",1,",","[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f397c2342b0>]]"
"batchId ,",52.0,",overall_accuracy, ",69.125,",step_accuracy, ",65.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",['MobileNetV2']
"batchId ,",53.0,",overall_accuracy, ",68.98113207547169,",step_accuracy, ",61.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",54.0,",overall_accuracy, ",68.96296296296296,",step_accuracy, ",68.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",55.0,",overall_accuracy, ",69.02727272727273,",step_accuracy, ",72.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",56.0,",overall_accuracy, ",69.0,",step_accuracy, ",67.5,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",57.0,",overall_accuracy, ",68.98245614035088,",step_accuracy, ",68.0,",models, ","Counter({'MobileNet': 1, 'MobileNetV2': 1})",",",2,",",None
"batchId ,",58.0,",overall_accuracy, ",69.0603448275862,",step_accuracy, ",73.5,",models, ",Counter({'MobileNetV2': 1}),",",1,",","[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f39642d33c8>]]"
"batchId ,",59.0,",overall_accuracy, ",69.04237288135593,",step_accuracy, ",68.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",['MobileNet']
"batchId ,",60.0,",overall_accuracy, ",69.05,",step_accuracy, ",69.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",61.0,",overall_accuracy, ",69.08196721311477,",step_accuracy, ",71.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",62.0,",overall_accuracy, ",69.03225806451613,",step_accuracy, ",66.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",63.0,",overall_accuracy, ",68.96031746031746,",step_accuracy, ",64.5,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",64.0,",overall_accuracy, ",68.9453125,",step_accuracy, ",68.0,",models, ","Counter({'MobileNetV2': 1, 'MobileNet': 1})",",",2,",",None
"batchId ,",65.0,",overall_accuracy, ",69.02307692307691,",step_accuracy, ",74.0,",models, ",Counter({'MobileNet': 1}),",",1,",","[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f394c3ba3c8>]]"
"batchId ,",66.0,",overall_accuracy, ",69.03030303030303,",step_accuracy, ",69.5,",models, ",Counter({'MobileNet': 1}),",",1,",",None
"batchId ,",67.0,",overall_accuracy, ",69.08955223880598,",step_accuracy, ",73.0,",models, ",Counter({'MobileNet': 1}),",",1,",",None
"batchId ,",68.0,",overall_accuracy, ",69.13235294117646,",step_accuracy, ",72.0,",models, ",Counter({'MobileNet': 1}),",",1,",",None
