"batchId ,",28.0,",overall_accuracy, ",74.58928571428571,",step_accuracy, ",70.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",29.0,",overall_accuracy, ",74.6896551724138,",step_accuracy, ",77.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",30.0,",overall_accuracy, ",74.65,",step_accuracy, ",73.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",31.0,",overall_accuracy, ",74.5,",step_accuracy, ",70.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",32.0,",overall_accuracy, ",74.390625,",step_accuracy, ",71.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",33.0,",overall_accuracy, ",74.45454545454545,",step_accuracy, ",76.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",34.0,",overall_accuracy, ",74.47058823529412,",step_accuracy, ",75.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",35.0,",overall_accuracy, ",74.41428571428571,",step_accuracy, ",72.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",36.0,",overall_accuracy, ",74.3888888888889,",step_accuracy, ",73.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",37.0,",overall_accuracy, ",74.41891891891892,",step_accuracy, ",75.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",38.0,",overall_accuracy, ",74.31578947368422,",step_accuracy, ",70.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",39.0,",overall_accuracy, ",74.26923076923076,",step_accuracy, ",72.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",40.0,",overall_accuracy, ",74.3,",step_accuracy, ",75.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",41.0,",overall_accuracy, ",74.40243902439025,",step_accuracy, ",78.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",42.0,",overall_accuracy, ",74.46428571428572,",step_accuracy, ",77.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",43.0,",overall_accuracy, ",74.44186046511628,",step_accuracy, ",73.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",44.0,",overall_accuracy, ",74.39772727272728,",step_accuracy, ",72.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",45.0,",overall_accuracy, ",74.5111111111111,",step_accuracy, ",79.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",46.0,",overall_accuracy, ",74.53260869565217,",step_accuracy, ",75.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",47.0,",overall_accuracy, ",74.59574468085106,",step_accuracy, ",77.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",48.0,",overall_accuracy, ",74.60416666666667,",step_accuracy, ",75.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",49.0,",overall_accuracy, ",74.73469387755102,",step_accuracy, ",81.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",50.0,",overall_accuracy, ",74.74,",step_accuracy, ",75.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",51.0,",overall_accuracy, ",74.8921568627451,",step_accuracy, ",82.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",52.0,",overall_accuracy, ",74.84615384615385,",step_accuracy, ",72.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",53.0,",overall_accuracy, ",74.74528301886792,",step_accuracy, ",69.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",54.0,",overall_accuracy, ",74.74074074074075,",step_accuracy, ",74.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",55.0,",overall_accuracy, ",74.75454545454545,",step_accuracy, ",75.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",56.0,",overall_accuracy, ",74.79464285714286,",step_accuracy, ",77.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",57.0,",overall_accuracy, ",74.76315789473685,",step_accuracy, ",73.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",58.0,",overall_accuracy, ",74.78448275862068,",step_accuracy, ",76.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",59.0,",overall_accuracy, ",74.79661016949153,",step_accuracy, ",75.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",60.0,",overall_accuracy, ",74.80833333333334,",step_accuracy, ",75.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",61.0,",overall_accuracy, ",74.81967213114754,",step_accuracy, ",75.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",62.0,",overall_accuracy, ",74.75,",step_accuracy, ",70.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",63.0,",overall_accuracy, ",74.71428571428571,",step_accuracy, ",72.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",64.0,",overall_accuracy, ",74.7421875,",step_accuracy, ",76.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",65.0,",overall_accuracy, ",74.8,",step_accuracy, ",78.5,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",66.0,",overall_accuracy, ",74.87878787878788,",step_accuracy, ",80.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",67.0,",overall_accuracy, ",74.94029850746269,",step_accuracy, ",79.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
"batchId ,",68.0,",overall_accuracy, ",74.95588235294117,",step_accuracy, ",76.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'Xception': 1, 'MobileNetV2': 1})",",",5,",",
