"batchId ,",23.0,",overall_accuracy, ",74.5391304347826,",step_accuracy, ",75.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",24.0,",overall_accuracy, ",74.54166666666666,",step_accuracy, ",74.6,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",25.0,",overall_accuracy, ",74.4,",step_accuracy, ",71.0,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",26.0,",overall_accuracy, ",74.49230769230769,",step_accuracy, ",76.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",27.0,",overall_accuracy, ",74.68148148148148,",step_accuracy, ",79.60000000000001,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1})",",",6,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f4fdc64a7f0>]]"
"batchId ,",28.0,",overall_accuracy, ",74.6,",step_accuracy, ",72.39999999999999,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",29.0,",overall_accuracy, ",74.51724137931033,",step_accuracy, ",72.2,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",30.0,",overall_accuracy, ",74.49333333333334,",step_accuracy, ",73.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",31.0,",overall_accuracy, ",74.48387096774194,",step_accuracy, ",74.2,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",32.0,",overall_accuracy, ",74.36874999999999,",step_accuracy, ",70.8,",models, ","Counter({'MobileNet': 1, 'DenseNet121': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
