"batchId ,",18.0,",overall_accuracy, ",76.6,",step_accuracy, ",78.2,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",10,",",None
"batchId ,",19.0,",overall_accuracy, ",76.66315789473684,",step_accuracy, ",77.8,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50': 1, 'ResNet50V2': 1})",",",10,",",None
"batchId ,",20.0,",overall_accuracy, ",76.82,",step_accuracy, ",79.80000000000001,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1})",",",9,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3bd44aa048>]]"
"batchId ,",21.0,",overall_accuracy, ",76.75238095238095,",step_accuracy, ",75.4,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1})",",",9,",",None
"batchId ,",22.0,",overall_accuracy, ",76.63636363636364,",step_accuracy, ",74.2,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",10,",",['ResNet50']
"batchId ,",23.0,",overall_accuracy, ",76.7304347826087,",step_accuracy, ",78.8,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",24.0,",overall_accuracy, ",76.67500000000001,",step_accuracy, ",75.4,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",25.0,",overall_accuracy, ",76.55999999999999,",step_accuracy, ",73.8,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",26.0,",overall_accuracy, ",76.67692307692307,",step_accuracy, ",79.60000000000001,",models, ","Counter({'MobileNet': 1, 'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1})",",",9,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3ba06b0940>]]"
"batchId ,",27.0,",overall_accuracy, ",76.8962962962963,",step_accuracy, ",82.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1})",",",8,",","[('MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f3e7c2088d0>)]"
"batchId ,",28.0,",overall_accuracy, ",76.8,",step_accuracy, ",74.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1})",",",9,",",['MobileNet']
"batchId ,",29.0,",overall_accuracy, ",76.71034482758621,",step_accuracy, ",74.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",['ResNet50']
"batchId ,",30.0,",overall_accuracy, ",76.66,",step_accuracy, ",75.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",31.0,",overall_accuracy, ",76.61290322580645,",step_accuracy, ",75.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",32.0,",overall_accuracy, ",76.51875,",step_accuracy, ",73.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
"batchId ,",33.0,",overall_accuracy, ",76.54545454545455,",step_accuracy, ",77.4,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet121': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'MobileNetV2': 1, 'NASNetMobile': 1, 'Xception': 1, 'ResNet50V2': 1, 'MobileNet': 1, 'ResNet50': 1})",",",10,",",None
