"batchId ,",24.0,",overall_accuracy, ",74.9,",step_accuracy, ",75.4,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'DenseNet121': 1})",",",5,",",None
"batchId ,",25.0,",overall_accuracy, ",74.8,",step_accuracy, ",72.39999999999999,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",6,",",['MobileNet']
"batchId ,",26.0,",overall_accuracy, ",74.86923076923077,",step_accuracy, ",76.6,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",6,",",None
"batchId ,",27.0,",overall_accuracy, ",75.06666666666668,",step_accuracy, ",80.2,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1})",",",4,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1e8fe7bda0>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1f48659080>]]]"
"batchId ,",28.0,",overall_accuracy, ",74.95,",step_accuracy, ",71.8,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",5,",",['MobileNet']
"batchId ,",29.0,",overall_accuracy, ",74.8896551724138,",step_accuracy, ",73.2,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",5,",",None
"batchId ,",30.0,",overall_accuracy, ",74.89333333333333,",step_accuracy, ",75.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",5,",",None
"batchId ,",31.0,",overall_accuracy, ",74.89032258064516,",step_accuracy, ",74.8,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",5,",",None
"batchId ,",32.0,",overall_accuracy, ",74.7625,",step_accuracy, ",70.8,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",",['MobileNetV2']
"batchId ,",33.0,",overall_accuracy, ",74.7939393939394,",step_accuracy, ",75.8,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",34.0,",overall_accuracy, ",74.74705882352941,",step_accuracy, ",73.2,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",35.0,",overall_accuracy, ",74.78857142857143,",step_accuracy, ",76.2,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",",None
"batchId ,",36.0,",overall_accuracy, ",74.67222222222222,",step_accuracy, ",70.6,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",7,",",['ResNet50V2']
"batchId ,",37.0,",overall_accuracy, ",74.67567567567568,",step_accuracy, ",74.8,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",38.0,",overall_accuracy, ",74.63157894736842,",step_accuracy, ",73.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",8,",",['ResNet50']
"batchId ,",39.0,",overall_accuracy, ",74.55384615384615,",step_accuracy, ",71.6,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",40.0,",overall_accuracy, ",74.52,",step_accuracy, ",73.2,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",8,",",None
"batchId ,",41.0,",overall_accuracy, ",74.60487804878049,",step_accuracy, ",78.0,",models, ","Counter({'Xception': 1, 'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",","[[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1e8e5d57f0>]], [['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1e8ed72550>]]]"
"batchId ,",42.0,",overall_accuracy, ",74.70952380952382,",step_accuracy, ",79.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",","[[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1e8f417518>]], [('Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7f217c4aa278>)]]"
"batchId ,",43.0,",overall_accuracy, ",74.70697674418605,",step_accuracy, ",74.6,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",44.0,",overall_accuracy, ",74.71363636363635,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",45.0,",overall_accuracy, ",74.67111111111112,",step_accuracy, ",72.8,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'Xception': 1})",",",5,",",['Xception']
"batchId ,",46.0,",overall_accuracy, ",74.66956521739131,",step_accuracy, ",74.6,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'Xception': 1})",",",5,",",None
"batchId ,",47.0,",overall_accuracy, ",74.6468085106383,",step_accuracy, ",73.6,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'Xception': 1})",",",5,",",None
"batchId ,",48.0,",overall_accuracy, ",74.67083333333333,",step_accuracy, ",75.8,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'Xception': 1})",",",5,",",None
"batchId ,",49.0,",overall_accuracy, ",74.70204081632653,",step_accuracy, ",76.2,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'Xception': 1})",",",5,",",None
"batchId ,",50.0,",overall_accuracy, ",74.628,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1, 'Xception': 1, 'MobileNetV2': 1})",",",6,",",['MobileNetV2']
