"batchId ,",23.0,",overall_accuracy, ",74.84782608695653,",step_accuracy, ",80.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",24.0,",overall_accuracy, ",74.95833333333334,",step_accuracy, ",77.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",25.0,",overall_accuracy, ",74.9,",step_accuracy, ",73.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",26.0,",overall_accuracy, ",74.92307692307692,",step_accuracy, ",75.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",27.0,",overall_accuracy, ",75.0,",step_accuracy, ",77.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",28.0,",overall_accuracy, ",74.875,",step_accuracy, ",71.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",29.0,",overall_accuracy, ",75.0,",step_accuracy, ",78.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",30.0,",overall_accuracy, ",74.96666666666667,",step_accuracy, ",74.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",31.0,",overall_accuracy, ",74.82258064516128,",step_accuracy, ",70.5,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
"batchId ,",32.0,",overall_accuracy, ",74.671875,",step_accuracy, ",70.0,",models, ","Counter({'ResNet50': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",7,",",None
