"batchId ,",24.0,",overall_accuracy, ",73.6875,",step_accuracy, ",77.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'DenseNet121': 1})",",",3,",","[[['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f037f6550f0>]]]"
"batchId ,",25.0,",overall_accuracy, ",73.7,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'DenseNet121': 1})",",",3,",",None
"batchId ,",26.0,",overall_accuracy, ",73.73076923076923,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'DenseNet121': 1})",",",3,",",None
"batchId ,",27.0,",overall_accuracy, ",73.70370370370371,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'DenseNet121': 1})",",",3,",",None
"batchId ,",28.0,",overall_accuracy, ",73.51785714285714,",step_accuracy, ",68.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'DenseNet121': 1, 'MobileNetV2': 1})",",",4,",",['MobileNetV2']
"batchId ,",29.0,",overall_accuracy, ",73.6896551724138,",step_accuracy, ",78.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",3,",","[[['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f03b0485a20>]]]"
"batchId ,",30.0,",overall_accuracy, ",73.66666666666667,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",3,",",None
"batchId ,",31.0,",overall_accuracy, ",73.56451612903226,",step_accuracy, ",70.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",32.0,",overall_accuracy, ",73.5,",step_accuracy, ",71.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'InceptionV3': 1})",",",5,",",['InceptionV3']
"batchId ,",33.0,",overall_accuracy, ",73.7121212121212,",step_accuracy, ",80.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1})",",",3,",","[[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f037d4a21d0>]], [['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f03e0449e48>]]]"
"batchId ,",34.0,",overall_accuracy, ",73.72058823529412,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1})",",",3,",",None
"batchId ,",35.0,",overall_accuracy, ",73.68571428571428,",step_accuracy, ",72.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1})",",",3,",",None
"batchId ,",36.0,",overall_accuracy, ",73.51388888888889,",step_accuracy, ",67.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
"batchId ,",37.0,",overall_accuracy, ",73.41891891891892,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1})",",",5,",",['InceptionV3']
"batchId ,",38.0,",overall_accuracy, ",73.3157894736842,",step_accuracy, ",69.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",6,",",['ResNet50V2']
"batchId ,",39.0,",overall_accuracy, ",73.32051282051282,",step_accuracy, ",73.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",40.0,",overall_accuracy, ",73.3625,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",41.0,",overall_accuracy, ",73.48780487804878,",step_accuracy, ",78.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'InceptionV3': 1})",",",4,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f037d0c4c88>]], [['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f037be54860>]]]"
"batchId ,",42.0,",overall_accuracy, ",73.45238095238096,",step_accuracy, ",72.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",5,",",['MobileNet']
"batchId ,",43.0,",overall_accuracy, ",73.47674418604652,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",5,",",None
"batchId ,",44.0,",overall_accuracy, ",73.48863636363636,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",5,",",None
"batchId ,",45.0,",overall_accuracy, ",73.63333333333333,",step_accuracy, ",80.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1})",",",3,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f037badf7f0>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f037efd09b0>]]]"
"batchId ,",46.0,",overall_accuracy, ",73.59782608695652,",step_accuracy, ",72.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
"batchId ,",47.0,",overall_accuracy, ",73.72340425531915,",step_accuracy, ",79.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1})",",",3,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f037b74ee48>]]]"
"batchId ,",48.0,",overall_accuracy, ",73.70833333333333,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1})",",",3,",",None
"batchId ,",49.0,",overall_accuracy, ",73.76530612244898,",step_accuracy, ",76.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1})",",",2,",","[[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f037c545208>]]]"
"batchId ,",50.0,",overall_accuracy, ",73.69,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",",['MobileNet']
"batchId ,",51.0,",overall_accuracy, ",73.79411764705883,",step_accuracy, ",79.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1})",",",2,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f037b424f60>]]]"
"batchId ,",52.0,",overall_accuracy, ",73.63461538461539,",step_accuracy, ",65.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",",['MobileNet']
"batchId ,",53.0,",overall_accuracy, ",73.5188679245283,",step_accuracy, ",67.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",['MobileNetV2']
"batchId ,",54.0,",overall_accuracy, ",73.5,",step_accuracy, ",72.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",None
"batchId ,",55.0,",overall_accuracy, ",73.5,",step_accuracy, ",73.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",None
"batchId ,",56.0,",overall_accuracy, ",73.51785714285714,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",None
"batchId ,",57.0,",overall_accuracy, ",73.48245614035088,",step_accuracy, ",71.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",['InceptionV3']
"batchId ,",58.0,",overall_accuracy, ",73.50862068965517,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",None
"batchId ,",59.0,",overall_accuracy, ",73.51694915254238,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",None
"batchId ,",60.0,",overall_accuracy, ",73.575,",step_accuracy, ",77.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",","[[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f0379e7db70>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f037a9ed5f8>]]]"
"batchId ,",61.0,",overall_accuracy, ",73.57377049180329,",step_accuracy, ",73.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",",None
"batchId ,",62.0,",overall_accuracy, ",73.48387096774194,",step_accuracy, ",68.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",['MobileNetV2']
"batchId ,",63.0,",overall_accuracy, ",73.42857142857143,",step_accuracy, ",70.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",['InceptionV3']
"batchId ,",64.0,",overall_accuracy, ",73.4453125,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",None
"batchId ,",65.0,",overall_accuracy, ",73.56153846153846,",step_accuracy, ",81.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",","[[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f0379792748>]], [['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f0378c21860>]]]"
"batchId ,",66.0,",overall_accuracy, ",73.62878787878788,",step_accuracy, ",78.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1})",",",2,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f037b045748>]]]"
"batchId ,",67.0,",overall_accuracy, ",73.64925373134328,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1})",",",2,",",None
"batchId ,",68.0,",overall_accuracy, ",73.63970588235294,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1})",",",2,",",None
"batchId ,",69.0,",overall_accuracy, ",73.56521739130434,",step_accuracy, ",68.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",",['MobileNet']
"batchId ,",70.0,",overall_accuracy, ",73.47142857142858,",step_accuracy, ",67.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",['MobileNetV2']
"batchId ,",71.0,",overall_accuracy, ",73.48591549295774,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",None
"batchId ,",72.0,",overall_accuracy, ",73.5,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",None
"batchId ,",73.0,",overall_accuracy, ",73.39041095890411,",step_accuracy, ",65.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",['InceptionV3']
"batchId ,",74.0,",overall_accuracy, ",73.41891891891892,",step_accuracy, ",75.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",None
"batchId ,",75.0,",overall_accuracy, ",73.44666666666667,",step_accuracy, ",75.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",None
