"batchId ,",18.0,",overall_accuracy, ",76.38888888888889,",step_accuracy, ",77.8,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",19.0,",overall_accuracy, ",76.4421052631579,",step_accuracy, ",77.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",20.0,",overall_accuracy, ",76.55999999999999,",step_accuracy, ",78.8,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",21.0,",overall_accuracy, ",76.52380952380953,",step_accuracy, ",75.8,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",22.0,",overall_accuracy, ",76.42727272727274,",step_accuracy, ",74.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",23.0,",overall_accuracy, ",76.51304347826087,",step_accuracy, ",78.4,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",24.0,",overall_accuracy, ",76.48333333333333,",step_accuracy, ",75.8,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",25.0,",overall_accuracy, ",76.384,",step_accuracy, ",74.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",26.0,",overall_accuracy, ",76.52307692307693,",step_accuracy, ",80.0,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
"batchId ,",27.0,",overall_accuracy, ",76.74074074074075,",step_accuracy, ",82.39999999999999,",models, ","Counter({'MobileNetV2': 1, 'ResNet50': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'DenseNet201': 1, 'InceptionV3': 1, 'InceptionResNetV2': 1, 'ResNet50V2': 1, 'Xception': 1})",",",10,",",None
