"batchId ,",22.0,",overall_accuracy, ",74.0,",step_accuracy, ",68.85714285714286,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",23.0,",overall_accuracy, ",74.08695652173914,",step_accuracy, ",76.0,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",24.0,",overall_accuracy, ",74.21428571428571,",step_accuracy, ",77.14285714285715,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",","[[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe76c4a22e8>]], [['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe72c1cf128>]]]"
"batchId ,",25.0,",overall_accuracy, ",74.18285714285715,",step_accuracy, ",73.42857142857143,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",None
"batchId ,",26.0,",overall_accuracy, ",74.23076923076923,",step_accuracy, ",75.42857142857143,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",None
"batchId ,",27.0,",overall_accuracy, ",74.44444444444444,",step_accuracy, ",80.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",3,",","[[('MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe88438ecc0>)], [('DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe9402c8908>)]]"
"batchId ,",28.0,",overall_accuracy, ",74.41836734693878,",step_accuracy, ",73.71428571428571,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",3,",",None
"batchId ,",29.0,",overall_accuracy, ",74.41379310344828,",step_accuracy, ",74.28571428571429,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",3,",",None
"batchId ,",30.0,",overall_accuracy, ",74.31428571428572,",step_accuracy, ",71.42857142857143,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",31.0,",overall_accuracy, ",74.24884792626727,",step_accuracy, ",72.28571428571429,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",32.0,",overall_accuracy, ",74.32142857142857,",step_accuracy, ",76.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1})",",",3,",","[[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe7a8360550>]]]"
"batchId ,",33.0,",overall_accuracy, ",74.20779220779221,",step_accuracy, ",70.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
"batchId ,",34.0,",overall_accuracy, ",74.23529411764706,",step_accuracy, ",75.14285714285714,",models, ","Counter({'NASNetMobile': 1, 'InceptionV3': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",35.0,",overall_accuracy, ",74.30204081632652,",step_accuracy, ",76.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",","[[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe75c105208>]]]"
"batchId ,",36.0,",overall_accuracy, ",74.13492063492063,",step_accuracy, ",68.28571428571428,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",['MobileNetV2']
"batchId ,",37.0,",overall_accuracy, ",74.2007722007722,",step_accuracy, ",76.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNetV2': 1})",",",3,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe72169d588>]]]"
"batchId ,",38.0,",overall_accuracy, ",74.28571428571429,",step_accuracy, ",77.42857142857143,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1})",",",2,",","[[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe7210038d0>]]]"
"batchId ,",39.0,",overall_accuracy, ",74.25641025641025,",step_accuracy, ",73.14285714285714,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1})",",",2,",",None
"batchId ,",40.0,",overall_accuracy, ",74.05714285714285,",step_accuracy, ",66.28571428571428,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",",['MobileNet']
"batchId ,",41.0,",overall_accuracy, ",74.08362369337979,",step_accuracy, ",75.14285714285714,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",",None
"batchId ,",42.0,",overall_accuracy, ",73.96598639455783,",step_accuracy, ",69.14285714285714,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",['MobileNetV2']
"batchId ,",43.0,",overall_accuracy, ",73.9468438538206,",step_accuracy, ",73.14285714285714,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",None
"batchId ,",44.0,",overall_accuracy, ",73.88311688311688,",step_accuracy, ",71.14285714285714,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",['InceptionV3']
"batchId ,",45.0,",overall_accuracy, ",73.96190476190476,",step_accuracy, ",77.42857142857143,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",","[[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe72062df60>]], [['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe713a06240>]]]"
"batchId ,",46.0,",overall_accuracy, ",73.85714285714286,",step_accuracy, ",69.14285714285714,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",['MobileNetV2']
"batchId ,",47.0,",overall_accuracy, ",73.92705167173253,",step_accuracy, ",77.14285714285715,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",","[[['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe71338f860>]]]"
"batchId ,",48.0,",overall_accuracy, ",73.88690476190476,",step_accuracy, ",72.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",['MobileNetV2']
"batchId ,",49.0,",overall_accuracy, ",73.88338192419826,",step_accuracy, ",73.71428571428571,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",None
"batchId ,",50.0,",overall_accuracy, ",73.89714285714287,",step_accuracy, ",74.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",None
"batchId ,",51.0,",overall_accuracy, ",73.79271708683474,",step_accuracy, ",68.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",['InceptionV3']
"batchId ,",52.0,",overall_accuracy, ",73.76373626373626,",step_accuracy, ",72.28571428571429,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",None
"batchId ,",53.0,",overall_accuracy, ",73.78436657681941,",step_accuracy, ",74.85714285714286,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",None
"batchId ,",54.0,",overall_accuracy, ",73.76190476190476,",step_accuracy, ",72.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",None
"batchId ,",55.0,",overall_accuracy, ",73.66753246753247,",step_accuracy, ",68.57142857142857,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",6,",",['ResNet50V2']
"batchId ,",56.0,",overall_accuracy, ",73.68877551020408,",step_accuracy, ",74.85714285714286,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",57.0,",overall_accuracy, ",73.70927318295739,",step_accuracy, ",74.85714285714286,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",58.0,",overall_accuracy, ",73.73891625615764,",step_accuracy, ",75.42857142857143,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",6,",",None
"batchId ,",59.0,",overall_accuracy, ",73.81598062953995,",step_accuracy, ",78.28571428571428,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'InceptionV3': 1})",",",4,",","[[['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe711a470b8>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe712d24470>]]]"
"batchId ,",60.0,",overall_accuracy, ",73.86666666666667,",step_accuracy, ",76.85714285714286,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",","[[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7fe7121b91d0>]]]"
"batchId ,",61.0,",overall_accuracy, ",73.89227166276346,",step_accuracy, ",75.42857142857143,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1})",",",3,",",None
