"batchId ,",23.0,",overall_accuracy, ",76.0695652173913,",step_accuracy, ",78.60000000000001,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'Xception': 1})",",",3,",","[[['NASNetMobile', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb95b28ed68>]], [['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb959ed0160>]]]"
"batchId ,",24.0,",overall_accuracy, ",76.00833333333334,",step_accuracy, ",74.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'Xception': 1})",",",3,",",None
"batchId ,",25.0,",overall_accuracy, ",75.912,",step_accuracy, ",73.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'Xception': 1, 'NASNetMobile': 1})",",",4,",",['NASNetMobile']
"batchId ,",26.0,",overall_accuracy, ",76.02307692307693,",step_accuracy, ",78.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",3,",","[[('Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7fba14419710>)]]"
"batchId ,",27.0,",overall_accuracy, ",76.15555555555555,",step_accuracy, ",79.60000000000001,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1})",",",2,",","[[['NASNetMobile', <tensorflow.python.keras.engine.functional.Functional object at 0x7fb9583eb160>]]]"
"batchId ,",28.0,",overall_accuracy, ",76.03571428571428,",step_accuracy, ",72.8,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1})",",",3,",",['NASNetMobile']
"batchId ,",29.0,",overall_accuracy, ",75.93793103448276,",step_accuracy, ",73.2,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",30.0,",overall_accuracy, ",75.92666666666666,",step_accuracy, ",75.6,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",31.0,",overall_accuracy, ",75.90967741935484,",step_accuracy, ",75.4,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",32.0,",overall_accuracy, ",75.81875,",step_accuracy, ",73.0,",models, ","Counter({'InceptionResNetV2': 1, 'DenseNet201': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",['Xception']
