"batchId ,",21.0,",overall_accuracy, ",74.3310657596372,",step_accuracy, ",68.0952380952381,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'InceptionV3': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",22.0,",overall_accuracy, ",74.54545454545455,",step_accuracy, ",79.04761904761905,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",6,",","[('InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1550321550>)]"
"batchId ,",23.0,",overall_accuracy, ",74.51345755693582,",step_accuracy, ",73.80952380952381,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",24.0,",overall_accuracy, ",74.50396825396825,",step_accuracy, ",74.28571428571429,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",25.0,",overall_accuracy, ",74.5142857142857,",step_accuracy, ",74.76190476190476,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",26.0,",overall_accuracy, ",74.54212454212454,",step_accuracy, ",75.23809523809524,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",6,",",None
"batchId ,",27.0,",overall_accuracy, ",74.40917107583775,",step_accuracy, ",70.95238095238095,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'ResNet50': 1, 'InceptionV3': 1})",",",7,",",['InceptionV3']
"batchId ,",28.0,",overall_accuracy, ",74.54081632653062,",step_accuracy, ",78.0952380952381,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1})",",",6,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7f1409f18128>]]"
"batchId ,",29.0,",overall_accuracy, ",74.54844006568145,",step_accuracy, ",74.76190476190476,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",30.0,",overall_accuracy, ",74.28571428571429,",step_accuracy, ",66.66666666666666,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50V2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
