"batchId ,",21.0,",overall_accuracy, ",74.66666666666667,",step_accuracy, ",76.0,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",22.0,",overall_accuracy, ",74.36363636363636,",step_accuracy, ",68.0,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",23.0,",overall_accuracy, ",74.65217391304347,",step_accuracy, ",81.0,",models, ","Counter({'InceptionV3': 1, 'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",6,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fecec4b3278>]]"
"batchId ,",24.0,",overall_accuracy, ",74.77083333333333,",step_accuracy, ",77.5,",models, ","Counter({'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",","[('InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7feecc18c860>)]"
"batchId ,",25.0,",overall_accuracy, ",74.72,",step_accuracy, ",73.5,",models, ","Counter({'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",26.0,",overall_accuracy, ",74.78846153846153,",step_accuracy, ",76.5,",models, ","Counter({'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",27.0,",overall_accuracy, ",74.85185185185185,",step_accuracy, ",76.5,",models, ","Counter({'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",5,",",None
"batchId ,",28.0,",overall_accuracy, ",74.71428571428571,",step_accuracy, ",71.0,",models, ","Counter({'ResNet50V2': 1, 'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",['InceptionV3']
"batchId ,",29.0,",overall_accuracy, ",74.8103448275862,",step_accuracy, ",77.5,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",","[('ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fee94454518>)]"
"batchId ,",30.0,",overall_accuracy, ",74.78333333333333,",step_accuracy, ",74.0,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",5,",",None
"batchId ,",31.0,",overall_accuracy, ",74.61290322580645,",step_accuracy, ",69.5,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",6,",",['ResNet50V2']
"batchId ,",32.0,",overall_accuracy, ",74.46875,",step_accuracy, ",70.0,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",33.0,",overall_accuracy, ",74.51515151515152,",step_accuracy, ",76.0,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",34.0,",overall_accuracy, ",74.51470588235294,",step_accuracy, ",74.5,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",35.0,",overall_accuracy, ",74.42857142857143,",step_accuracy, ",71.5,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",36.0,",overall_accuracy, ",74.31944444444444,",step_accuracy, ",70.5,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",37.0,",overall_accuracy, ",74.25675675675676,",step_accuracy, ",72.0,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",38.0,",overall_accuracy, ",74.13157894736842,",step_accuracy, ",69.5,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",39.0,",overall_accuracy, ",74.08974358974359,",step_accuracy, ",72.5,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",40.0,",overall_accuracy, ",74.125,",step_accuracy, ",75.5,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",41.0,",overall_accuracy, ",74.2439024390244,",step_accuracy, ",79.0,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",6,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fec6423db38>]]"
"batchId ,",42.0,",overall_accuracy, ",74.21428571428571,",step_accuracy, ",73.0,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",['ResNet50']
"batchId ,",43.0,",overall_accuracy, ",74.17441860465117,",step_accuracy, ",72.5,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",44.0,",overall_accuracy, ",74.19318181818181,",step_accuracy, ",75.0,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",7,",",None
"batchId ,",45.0,",overall_accuracy, ",74.25555555555555,",step_accuracy, ",77.0,",models, ","Counter({'DenseNet121': 1, 'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",6,",","[['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7fec8c223080>]]"
"batchId ,",46.0,",overall_accuracy, ",74.32608695652175,",step_accuracy, ",77.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",5,",","[('DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7fee2846a080>)]"
"batchId ,",47.0,",overall_accuracy, ",74.38297872340426,",step_accuracy, ",77.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1})",",",4,",","[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7fed40259d30>]]"
"batchId ,",48.0,",overall_accuracy, ",74.34375,",step_accuracy, ",72.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'ResNet50': 1, 'MobileNet': 1})",",",5,",",['MobileNet']
"batchId ,",49.0,",overall_accuracy, ",74.39795918367346,",step_accuracy, ",77.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",4,",","[['ResNet50', <tensorflow.python.keras.engine.functional.Functional object at 0x7fec452e0518>]]"
"batchId ,",50.0,",overall_accuracy, ",74.42999999999999,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'InceptionV3': 1, 'MobileNet': 1})",",",4,",",None
"batchId ,",51.0,",overall_accuracy, ",74.49019607843137,",step_accuracy, ",77.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1})",",",3,",","[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7fef0c138ac8>]]"
"batchId ,",52.0,",overall_accuracy, ",74.375,",step_accuracy, ",68.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1})",",",4,",",['InceptionV3']
"batchId ,",53.0,",overall_accuracy, ",74.24528301886792,",step_accuracy, ",67.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",5,",",['ResNet50V2']
"batchId ,",54.0,",overall_accuracy, ",74.21296296296296,",step_accuracy, ",72.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNetV2': 1, 'MobileNet': 1, 'InceptionV3': 1, 'ResNet50V2': 1, 'ResNet50': 1})",",",6,",",['ResNet50']
