"batchId ,",1.0,",overall_accuracy, ",100.0,",step_accuracy, ",100.0,",models, ","Counter({'inceptionv4': 2, 'xception': 1, 'densenet121': 1, 'resnet50': 1, 'squeezenet': 1, 'mobilenetv2': 1, 'shufflenet': 1, 'nasnet': 1})",",",9,",",['inception']
"batchId ,",2.0,",overall_accuracy, ",80.0,",step_accuracy, ",60.0,",models, ","Counter({'inceptionv4': 3, 'xception': 1, 'densenet121': 1, 'resnet50': 1, 'squeezenet': 1, 'mobilenetv2': 1, 'shufflenet': 1, 'nasnet': 1})",",",10,",",['inception']
"batchId ,",3.0,",overall_accuracy, ",86.66666666666667,",step_accuracy, ",100.0,",models, ","Counter({'inceptionv4': 4, 'xception': 1, 'densenet121': 1, 'resnet50': 1, 'squeezenet': 1, 'mobilenetv2': 1, 'shufflenet': 1, 'nasnet': 1})",",",11,",",['inception']
