shufflenet,sunflower,3
shufflenet,caterpillar,2
shufflenet,porcupine,2
shufflenet,lawn_mower,2
shufflenet,television,2
shufflenet,fox,2
shufflenet,cockroach,1
shufflenet,rocket,2
shufflenet,pear,1
shufflenet,bus,2
shufflenet,wolf,2
shufflenet,leopard,1
shufflenet,whale,1
shufflenet,cloud,2
shufflenet,possum,2
shufflenet,squirrel,1
shufflenet,woman,2
shufflenet,bed,1
shufflenet,palm_tree,2
shufflenet,bottle,1
shufflenet,sweet_pepper,1
shufflenet,maple_tree,1
shufflenet,orchid,2
shufflenet,bowl,1
shufflenet,mushroom,2
shufflenet,orange,1
shufflenet,skyscraper,2
shufflenet,willow_tree,3
shufflenet,house,3
shufflenet,girl,1
shufflenet,shrew,1
shufflenet,bicycle,2
shufflenet,otter,1
shufflenet,hamster,1
shufflenet,bridge,1
shufflenet,can,1
shufflenet,telephone,3
shufflenet,pickup_truck,1
shufflenet,lion,1
shufflenet,spider,1
shufflenet,couch,2
shufflenet,streetcar,1
shufflenet,rose,2
shufflenet,cup,2
shufflenet,plate,1
shufflenet,crab,1
shufflenet,bear,2
shufflenet,chair,1
shufflenet,table,1
shufflenet,tiger,1
shufflenet,keyboard,2
shufflenet,road,1
shufflenet,worm,1
shufflenet,bee,1
shufflenet,camel,1
shufflenet,tank,1
shufflenet,lamp,1
shufflenet,mouse,1
shufflenet,shark,1
nasnet,sunflower,2
nasnet,bowl,2
nasnet,bed,2
nasnet,caterpillar,2
nasnet,porcupine,3
nasnet,lawn_mower,2
nasnet,bottle,2
nasnet,television,2
nasnet,fox,2
nasnet,cockroach,1
nasnet,rocket,2
nasnet,pear,1
nasnet,bus,1
nasnet,wolf,2
nasnet,leopard,2
nasnet,whale,1
nasnet,cloud,2
nasnet,possum,2
nasnet,squirrel,1
nasnet,keyboard,3
nasnet,palm_tree,2
nasnet,maple_tree,1
nasnet,orchid,2
nasnet,mushroom,2
nasnet,orange,1
nasnet,skyscraper,2
nasnet,willow_tree,3
nasnet,house,3
nasnet,girl,1
nasnet,shrew,1
nasnet,bicycle,2
nasnet,baby,1
nasnet,hamster,1
nasnet,bridge,1
nasnet,crocodile,1
nasnet,can,1
nasnet,telephone,3
nasnet,chair,2
nasnet,pickup_truck,2
nasnet,lion,1
nasnet,spider,1
nasnet,couch,2
nasnet,streetcar,1
nasnet,man,1
nasnet,rose,2
nasnet,cup,1
nasnet,plate,1
nasnet,crab,1
nasnet,bear,1
nasnet,woman,1
nasnet,table,1
nasnet,tiger,1
nasnet,road,1
nasnet,worm,1
nasnet,bee,1
nasnet,camel,1
nasnet,tank,1
nasnet,lamp,1
nasnet,mouse,1
nasnet,shark,1
inceptionv4,sunflower,3
inceptionv4,bed,2
inceptionv4,caterpillar,2
inceptionv4,bee,2
inceptionv4,porcupine,3
inceptionv4,lawn_mower,2
inceptionv4,bottle,2
inceptionv4,television,2
inceptionv4,fox,2
inceptionv4,cockroach,1
inceptionv4,rocket,2
inceptionv4,pear,1
inceptionv4,bus,2
inceptionv4,wolf,2
inceptionv4,whale,1
inceptionv4,possum,2
inceptionv4,squirrel,1
inceptionv4,keyboard,3
inceptionv4,palm_tree,2
inceptionv4,sweet_pepper,1
inceptionv4,maple_tree,1
inceptionv4,orchid,1
inceptionv4,bowl,1
inceptionv4,mushroom,2
inceptionv4,orange,1
inceptionv4,skyscraper,2
inceptionv4,willow_tree,3
inceptionv4,house,2
inceptionv4,girl,1
inceptionv4,shrew,2
inceptionv4,bicycle,2
inceptionv4,otter,1
inceptionv4,hamster,1
inceptionv4,bridge,1
inceptionv4,cloud,1
inceptionv4,crocodile,1
inceptionv4,can,1
inceptionv4,telephone,3
inceptionv4,chair,2
inceptionv4,pickup_truck,2
inceptionv4,lion,1
inceptionv4,spider,1
inceptionv4,couch,2
inceptionv4,streetcar,1
inceptionv4,man,1
inceptionv4,rose,2
inceptionv4,cup,2
inceptionv4,plate,1
inceptionv4,crab,1
inceptionv4,bear,2
inceptionv4,woman,1
inceptionv4,table,1
inceptionv4,tiger,1
inceptionv4,elephant,1
inceptionv4,road,1
inceptionv4,worm,1
inceptionv4,camel,1
