Latency,Policy
465.2752876,cocktail
622.8802204,cocktail
198.9886761,cocktail
205.9223652,cocktail
642.711401,cocktail
309.8552227,cocktail
485.6684208,cocktail
347.1448421,cocktail
140.2795315,cocktail
143.6104774,cocktail
639.3854618,cocktail
427.4828434,cocktail
423.9864349,cocktail
599.1444588,cocktail
133.8536739,cocktail
202.7833462,cocktail
798.4790802,cocktail
300.0948429,cocktail
486.1330986,cocktail
346.7381001,cocktail
138.5886669,cocktail
214.2527103,cocktail
623.2953072,cocktail
400.1750946,cocktail
346.3218212,cocktail
486.5150452,cocktail
191.0588741,cocktail
124.1028309,cocktail
772.0298767,cocktail
301.8715382,cocktail
494.7755337,cocktail
350.7976532,cocktail
321.6516972,cocktail
323.2781887,cocktail
633.4323883,cocktail
407.31287,cocktail
347.6703167,cocktail
347.0656872,cocktail
197.5960732,cocktail
123.8868237,cocktail
627.903223,cocktail
299.5533943,cocktail
508.259058,cocktail
516.1612034,cocktail
133.7823868,cocktail
215.3961658,cocktail
749.6607304,cocktail
299.9610901,cocktail
466.0344124,cocktail
481.2705517,cocktail
126.1434555,cocktail
190.9294128,cocktail
623.1398582,cocktail
400.4752636,cocktail
507.3797703,cocktail
515.8784389,cocktail
133.7091923,cocktail
217.2746658,cocktail
761.9020939,cocktail
400.2759457,cocktail
438.9686584,cocktail
577.3849487,cocktail
197.4775791,cocktail
124.6552467,cocktail
632.8322887,cocktail
301.1884689,cocktail
509.3278885,cocktail
509.9554062,cocktail
211.889267,cocktail
211.7035389,cocktail
633.4979534,cocktail
421.7362404,cocktail
484.1048717,cocktail
342.8816795,cocktail
193.087101,cocktail
124.6328354,cocktail
784.5618725,cocktail
302.4988174,cocktail
448.9171505,cocktail
586.7116451,cocktail
137.2699738,cocktail
202.1372318,cocktail
636.3942623,cocktail
413.4087563,cocktail
632.9860687,cocktail
635.8168125,cocktail
134.7763538,cocktail
138.3600235,cocktail
783.0073833,cocktail
300.7371426,cocktail
479.9363613,cocktail
482.9936028,cocktail

