time,spot1,spot2,spot3,spot4
177,0.055,0.07,0.08,0.18
178,0.045,0.06,0.09,0.17
179,0.055,0.07,0.08,0.17
180,0.045,0.06,0.08,0.17
181,0.045,0.06,0.08,0.18
182,0.045,0.06,0.09,0.18
183,0.055,0.07,0.09,0.18
184,0.055,0.07,0.09,0.17
185,0.055,0.07,0.08,0.17
186,0.045,0.06,0.08,0.18
187,0.045,0.06,0.09,0.18
188,0.055,0.07,0.09,0.17
189,0.055,0.07,0.08,0.18
190,0.045,0.06,0.09,0.17
191,0.055,0.07,0.08,0.17
192,0.045,0.06,0.08,0.18
193,0.045,0.06,0.09,0.18
194,0.055,0.07,0.09,0.17
195,0.055,0.07,0.08,0.17
196,0.045,0.06,0.08,0.18
197,0.045,0.06,0.09,0.17
198,0.055,0.07,0.08,0.18
199,0.045,0.06,0.09,0.17
200,0.055,0.07,0.08,0.18
201,0.045,0.06,0.09,0.18
202,0.055,0.07,0.09,0.17
203,0.055,0.07,0.08,0.18
204,0.045,0.06,0.09,0.17
205,0.055,0.07,0.08,0.18
206,0.045,0.06,0.09,0.17
207,0.055,0.07,0.08,0.17
208,0.045,0.06,0.08,0.17
209,0.045,0.06,0.08,0.18
210,0.045,0.06,0.09,0.17
211,0.055,0.07,0.08,0.17
212,0.045,0.06,0.08,0.17
213,0.045,0.06,0.08,0.18
214,0.045,0.06,0.09,0.17
215,0.055,0.07,0.08,0.18
216,0.045,0.06,0.09,0.17
217,0.055,0.07,0.08,0.18
218,0.045,0.06,0.09,0.18
219,0.055,0.07,0.09,0.17
220,0.055,0.07,0.08,0.17
221,0.045,0.06,0.08,0.17
222,0.045,0.06,0.08,0.18
223,0.045,0.06,0.09,0.17
224,0.055,0.07,0.08,0.18
225,0.045,0.06,0.09,0.17
226,0.055,0.07,0.08,0.17
227,0.045,0.06,0.08,0.17
228,0.045,0.06,0.08,0.18
229,0.045,0.06,0.09,0.17
230,0.055,0.07,0.08,0.17
231,0.045,0.06,0.08,0.18
232,0.045,0.06,0.09,0.18
233,0.055,0.07,0.09,0.17
234,0.055,0.07,0.08,0.18
235,0.045,0.06,0.09,0.17
236,0.055,0.07,0.08,0.18
237,0.045,0.06,0.09,0.17
238,0.055,0.07,0.08,0.18
239,0.045,0.06,0.09,0.17
240,0.055,0.07,0.08,0.18
241,0.045,0.06,0.09,0.18
242,0.055,0.07,0.09,0.17
243,0.055,0.07,0.08,0.17
244,0.045,0.06,0.08,0.17
245,0.045,0.06,0.08,0.18
246,0.045,0.06,0.09,0.17
247,0.055,0.07,0.08,0.17
248,0.045,0.06,0.08,0.18
249,0.045,0.06,0.09,0.17
250,0.055,0.07,0.08,0.17
251,0.045,0.06,0.08,0.17
252,0.045,0.06,0.08,0.18
253,0.045,0.06,0.09,0.18
254,0.055,0.07,0.09,0.18
255,0.055,0.07,0.09,0.18
256,0.055,0.07,0.09,0.17
257,0.055,0.07,0.08,0.17
258,0.045,0.06,0.08,0.18
259,0.045,0.06,0.09,0.17
260,0.055,0.07,0.08,0.18
261,0.045,0.06,0.09,0.18
262,0.055,0.07,0.09,0.17
263,0.055,0.07,0.08,0.18
264,0.045,0.06,0.09,0.17
265,0.055,0.07,0.08,0.18
266,0.045,0.06,0.09,0.17
267,0.055,0.07,0.08,0.17
268,0.045,0.06,0.08,0.18
269,0.045,0.06,0.09,0.17
270,0.055,0.07,0.08,0.18
271,0.045,0.06,0.09,0.18
272,0.055,0.07,0.09,0.18
273,0.055,0.07,0.09,0.17
274,0.055,0.07,0.08,0.17
275,0.045,0.06,0.08,0.18
276,0.045,0.06,0.09,0.17
277,0.055,0.07,0.08,0.18
278,0.045,0.06,0.09,0.17
279,0.055,0.07,0.08,0.18
280,0.045,0.06,0.09,0.18
281,0.055,0.07,0.09,0.18
282,0.055,0.07,0.09,0.17
283,0.055,0.07,0.08,0.18
284,0.045,0.06,0.09,0.17
285,0.055,0.07,0.08,0.18
286,0.045,0.06,0.09,0.18
287,0.055,0.07,0.09,0.17
288,0.055,0.07,0.08,0.18
289,0.045,0.06,0.09,0.17
290,0.055,0.07,0.08,0.18
291,0.045,0.06,0.09,0.17
292,0.055,0.07,0.08,0.18
293,0.045,0.06,0.09,0.17
294,0.055,0.07,0.08,0.18
295,0.045,0.06,0.09,0.17
296,0.055,0.07,0.08,0.18
297,0.045,0.06,0.09,0.17
298,0.055,0.07,0.08,0.17
299,0.045,0.06,0.08,0.18
300,0.045,0.06,0.09,0.18
301,0.055,0.07,0.09,0.17
302,0.055,0.07,0.08,0.18
303,0.045,0.06,0.09,0.17
304,0.055,0.07,0.08,0.18
305,0.045,0.06,0.09,0.18
306,0.055,0.07,0.09,0.17
307,0.055,0.07,0.08,0.18
308,0.045,0.06,0.09,0.17
309,0.055,0.07,0.08,0.18
310,0.045,0.06,0.09,0.17
311,0.055,0.07,0.08,0.18
312,0.045,0.06,0.09,0.18
313,0.055,0.07,0.09,0.18
314,0.055,0.07,0.09,0.17
315,0.055,0.07,0.08,0.17
316,0.045,0.06,0.08,0.18
317,0.045,0.06,0.09,0.17
318,0.055,0.07,0.08,0.18
319,0.045,0.06,0.09,0.17
320,0.055,0.07,0.08,0.18
321,0.045,0.06,0.09,0.17
322,0.055,0.07,0.08,0.18
323,0.045,0.06,0.09,0.18
324,0.055,0.07,0.09,0.18
325,0.055,0.07,0.09,0.17
326,0.055,0.07,0.08,0.18
327,0.045,0.06,0.09,0.17
328,0.055,0.07,0.08,0.17
329,0.045,0.06,0.08,0.18
330,0.045,0.06,0.09,0.18
331,0.055,0.07,0.09,0.17
332,0.055,0.07,0.08,0.18
333,0.045,0.06,0.09,0.17
334,0.055,0.07,0.08,0.17
335,0.045,0.06,0.08,0.18
336,0.045,0.06,0.09,0.17
337,0.055,0.07,0.08,0.17
338,0.045,0.06,0.08,0.18
339,0.045,0.06,0.09,0.17
340,0.055,0.07,0.08,0.18
341,0.045,0.06,0.09,0.18
342,0.055,0.07,0.09,0.17
343,0.055,0.07,0.08,0.18
344,0.045,0.06,0.09,0.17
345,0.055,0.07,0.08,0.11
346,0.045,0.06,0.02,0.09

