"batchId ,",21.0,",overall_accuracy, ",76.0,",step_accuracy, ",79.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1})",",",3,",","[[['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7f888974e4e0>]], [['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f88884b02e8>]]]"
"batchId ,",22.0,",overall_accuracy, ",75.72727272727273,",step_accuracy, ",70.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",23.0,",overall_accuracy, ",75.84782608695653,",step_accuracy, ",78.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1})",",",3,",","[[['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f88834971d0>]]]"
"batchId ,",24.0,",overall_accuracy, ",75.91666666666667,",step_accuracy, ",77.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1})",",",3,",",None
"batchId ,",25.0,",overall_accuracy, ",75.8,",step_accuracy, ",73.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",26.0,",overall_accuracy, ",75.82692307692308,",step_accuracy, ",76.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",27.0,",overall_accuracy, ",75.88888888888889,",step_accuracy, ",77.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",28.0,",overall_accuracy, ",75.71428571428571,",step_accuracy, ",71.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",['Xception']
"batchId ,",29.0,",overall_accuracy, ",75.8103448275862,",step_accuracy, ",78.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1})",",",3,",","[[['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f88824c90b8>]], [['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7f8881edda20>]]]"
"batchId ,",30.0,",overall_accuracy, ",75.73333333333333,",step_accuracy, ",73.5,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1})",",",4,",",['DenseNet121']
"batchId ,",31.0,",overall_accuracy, ",75.61290322580645,",step_accuracy, ",72.0,",models, ","Counter({'DenseNet201': 1, 'InceptionResNetV2': 1, 'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",['Xception']
