"batchId ,",23.0,",overall_accuracy, ",74.43478260869566,",step_accuracy, ",81.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'MobileNet': 1, 'DenseNet121': 1})",",",4,",","[[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5cb0119278>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c75790cf8>]]]"
"batchId ,",24.0,",overall_accuracy, ",74.47916666666666,",step_accuracy, ",75.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'MobileNet': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",25.0,",overall_accuracy, ",74.48,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'MobileNet': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",26.0,",overall_accuracy, ",74.5576923076923,",step_accuracy, ",76.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'MobileNet': 1, 'DenseNet121': 1})",",",4,",",None
"batchId ,",27.0,",overall_accuracy, ",74.5,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'MobileNet': 1, 'DenseNet121': 1, 'MobileNetV2': 1})",",",5,",",['MobileNetV2']
"batchId ,",28.0,",overall_accuracy, ",74.39285714285714,",step_accuracy, ",71.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'MobileNet': 1, 'DenseNet121': 1, 'MobileNetV2': 1, 'InceptionV3': 1})",",",6,",",['InceptionV3']
"batchId ,",29.0,",overall_accuracy, ",74.5344827586207,",step_accuracy, ",78.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",","[[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c74573940>]], [['DenseNet121', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c75e730f0>]]]"
"batchId ,",30.0,",overall_accuracy, ",74.5,",step_accuracy, ",73.5,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1})",",",4,",",None
"batchId ,",31.0,",overall_accuracy, ",74.38709677419355,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1})",",",5,",",['DenseNet121']
"batchId ,",32.0,",overall_accuracy, ",74.28125,",step_accuracy, ",71.0,",models, ","Counter({'NASNetMobile': 1, 'Xception': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'InceptionV3': 1})",",",6,",",['InceptionV3']
"batchId ,",33.0,",overall_accuracy, ",74.37878787878788,",step_accuracy, ",77.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1})",",",4,",","[[['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5cb172a0b8>]], [['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c72a34240>]]]"
"batchId ,",34.0,",overall_accuracy, ",74.33823529411765,",step_accuracy, ",73.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",['Xception']
"batchId ,",35.0,",overall_accuracy, ",74.31428571428572,",step_accuracy, ",73.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'Xception': 1})",",",5,",",None
"batchId ,",36.0,",overall_accuracy, ",74.25,",step_accuracy, ",72.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1})",",",6,",",['InceptionV3']
"batchId ,",37.0,",overall_accuracy, ",74.27027027027026,",step_accuracy, ",75.0,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1})",",",6,",",None
"batchId ,",38.0,",overall_accuracy, ",74.19736842105263,",step_accuracy, ",71.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",['ResNet50V2']
"batchId ,",39.0,",overall_accuracy, ",74.2051282051282,",step_accuracy, ",74.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",40.0,",overall_accuracy, ",74.2375,",step_accuracy, ",75.5,",models, ","Counter({'NASNetMobile': 1, 'MobileNet': 1, 'MobileNetV2': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1, 'ResNet50V2': 1})",",",7,",",None
"batchId ,",41.0,",overall_accuracy, ",74.40243902439025,",step_accuracy, ",81.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1})",",",4,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5cb135dda0>]], [['ResNet50V2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c71246b00>]], [['MobileNetV2', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c75164780>]]]"
"batchId ,",42.0,",overall_accuracy, ",74.44047619047619,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1})",",",4,",",None
"batchId ,",43.0,",overall_accuracy, ",74.43023255813954,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1})",",",4,",",None
"batchId ,",44.0,",overall_accuracy, ",74.42045454545455,",step_accuracy, ",74.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'InceptionV3': 1})",",",4,",",None
"batchId ,",45.0,",overall_accuracy, ",74.56666666666666,",step_accuracy, ",81.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",3,",","[[['InceptionV3', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c71935f60>]]]"
"batchId ,",46.0,",overall_accuracy, ",74.5,",step_accuracy, ",71.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1, 'MobileNet': 1})",",",4,",",['MobileNet']
"batchId ,",47.0,",overall_accuracy, ",74.56382978723404,",step_accuracy, ",77.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",3,",","[[['MobileNet', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c70f68940>]]]"
"batchId ,",48.0,",overall_accuracy, ",74.54166666666666,",step_accuracy, ",73.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1, 'Xception': 1})",",",3,",",None
"batchId ,",49.0,",overall_accuracy, ",74.64285714285714,",step_accuracy, ",79.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1})",",",2,",","[[['Xception', <tensorflow.python.keras.engine.functional.Functional object at 0x7f5c724b3198>]]]"
"batchId ,",50.0,",overall_accuracy, ",74.62,",step_accuracy, ",73.5,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1})",",",2,",",None
"batchId ,",51.0,",overall_accuracy, ",74.6470588235294,",step_accuracy, ",76.0,",models, ","Counter({'NASNetMobile': 1, 'DenseNet121': 1})",",",2,",",None
