Latency,Policy
681.3089847564697,InFaas
733.3266735076904,InFaas
771.3158130645752,InFaas
826.3843059539795,InFaas
796.4880466461182,InFaas
656.958818435669,InFaas
865.4582500457764,InFaas
817.2664642333984,InFaas
856.7929267883301,InFaas
570.5094337463379,InFaas
569.8368549346924,InFaas
732.567310333252,InFaas
419.919490814209,InFaas
412.5323295593262,InFaas
396.639347076416,InFaas
445.2400207519531,InFaas
427.55579948425293,InFaas
449.9335289001465,InFaas
436.6762638092041,InFaas
451.0924816131592,InFaas
443.4094429016113,InFaas
291.3956642150879,InFaas
388.7147903442383,InFaas
421.5695858001709,InFaas
438.60340118408203,InFaas
449.63979721069336,InFaas
451.0805606842041,InFaas
335.38293838500977,InFaas
340.30818939208984,InFaas
342.2973155975342,InFaas
437.5793933868408,InFaas
457.869291305542,InFaas
462.7411365509033,InFaas
448.9092826843262,InFaas
326.7810344696045,InFaas
326.3058662414551,InFaas
431.95295333862305,InFaas
447.2799301147461,InFaas
326.63559913635254,InFaas
221.50301933288574,InFaas
291.3658618927002,InFaas
324.68128204345703,InFaas
327.8541564941406,InFaas
368.1774139404297,InFaas
366.5628433227539,InFaas
358.9916229248047,InFaas
402.00185775756836,InFaas
370.9867000579834,InFaas
437.66260147094727,InFaas
444.3092346191406,InFaas
433.9792728424072,InFaas
468.71232986450195,InFaas
489.17341232299805,InFaas
486.6907596588135,InFaas
477.337121963501,InFaas
495.1350688934326,InFaas
490.5397891998291,InFaas
530.4772853851318,InFaas
536.4100933074951,InFaas
549.7121810913086,InFaas
559.2429637908936,InFaas
545.8941459655762,InFaas
591.0921096801758,InFaas
358.7174415588379,InFaas
391.30711555480957,InFaas
250.60296058654785,InFaas
332.7329158782959,InFaas
417.0341491699219,InFaas
325.2894878387451,InFaas
387.8636360168457,InFaas
191.08128547668457,InFaas
340.1021957397461,InFaas
192.9910182952881,InFaas
279.05917167663574,InFaas
168.16115379333496,InFaas
422.8816032409668,InFaas
150.4228115081787,InFaas
251.11794471740723,InFaas
116.72544479370117,InFaas
181.00309371948242,InFaas
189.7726058959961,InFaas
183.15744400024414,InFaas
117.7682876586914,InFaas
334.2428207397461,InFaas
115.61465263366699,InFaas
460.10684967041016,InFaas
331.4025402069092,InFaas
461.02094650268555,InFaas
330.0459384918213,InFaas
332.1969509124756,InFaas
447.8752613067627,InFaas
330.08337020874023,InFaas
422.7917194366455,InFaas
436.15150451660156,InFaas
320.4612731933594,InFaas
327.50654220581055,InFaas
571.6495513916016,InFaas
573.5361576080322,InFaas
553.3959865570068,InFaas
770.3039646148682,InFaas
597.0916748046875,InFaas
783.2176685333252,InFaas
769.5083618164062,InFaas
771.6579437255859,InFaas
811.3603591918945,InFaas
595.1871871948242,InFaas
569.4100856781006,InFaas
550.140380859375,InFaas
422.182559967041,InFaas
278.20849418640137,InFaas
300.5704879760742,InFaas
413.8011932373047,InFaas
278.90968322753906,InFaas
424.4084358215332,InFaas
309.4644546508789,InFaas
389.2490863800049,InFaas
479.0792465209961,InFaas
