Policy,Query,p50,p90,p99
Clipper,Constraint1,8,10,10
Clipper,Constraint2,6,8,8
Clipper,Constraint3,4,7,7
Clipper-X,Constraint1,6.5,10,10
Clipper-X,Constraint2,5,7,8
Clipper-X,Constraint3,3,6,7
Cocktail,Constraint1,5,7,10
Cocktail,Constraint2,4.2,7,8
Cocktail,Constraint3,2.2,6,7



