Policy,Query,p50,p90,p99
Clipper,Type1,8.9,10,10
Clipper,Type2,5.2,7,8
Clipper,Type3,5.2,6,7
Concord,Type1,4,7,10
Concord,Type2,5,7,8
Concord,Type3,4,6,7



