Latency,Policy
197.4775791,Cocktail
124.6552467,Cocktail
632.8322887,Cocktail
301.1884689,Cocktail
509.3278885,Cocktail
509.9554062,Cocktail
211.889267,Cocktail
211.7035389,Cocktail
633.4979534,Cocktail
421.7362404,Cocktail
484.1048717,Cocktail
342.8816795,Cocktail
193.087101,Cocktail
124.6328354,Cocktail
784.5618725,Cocktail
302.4988174,Cocktail
448.9171505,Cocktail
586.7116451,Cocktail
137.2699738,Cocktail
202.1372318,Cocktail
636.3942623,Cocktail
413.4087563,Cocktail
632.9860687,Cocktail
635.8168125,Cocktail
134.7763538,Cocktail
138.3600235,Cocktail
783.0073833,Cocktail
300.7371426,Cocktail
479.9363613,Cocktail
482.9936028,Cocktail
940.25,Clipper
940.3436298,Clipper
542.4616451,Clipper
618.218195,Clipper
627.3825283,Clipper
145.680666,Clipper
145.0738907,Clipper
783.7147827,Clipper
539.3078442,Clipper
364.2878532,Clipper
372.3695278,Clipper
231.2581539,Clipper
234.3313694,Clipper
910.4223366,Clipper
324.5623112,Clipper
598.502409,Clipper
604.2060966,Clipper
195.9080696,Clipper
128.7834644,Clipper
785.6252308,Clipper
325.0436783,Clipper
586.5342731,Clipper
348.4899998,Clipper
199.7561455,Clipper
127.3026466,Clipper
786.2706299,Clipper
537.6334305,Clipper
344.9790478,Clipper
595.330965,Clipper
206.9272995,Clipper
207.4959278,Clipper
914.1490574,Clipper
327.1539211,Clipper
344.3653584,Clipper
590.6128998,Clipper
128.8392544,Clipper
193.677187,Clipper
782.2127457,Clipper
536.6788025,Clipper
587.6503105,Clipper
593.595993,Clipper
128.787756,Clipper
192.4161911,Clipper
943.5684795,Clipper
331.6013813,Clipper
522.8138084,Clipper
523.3030434,Clipper
136.4383698,Clipper
140.8538818,Clipper
782.7251072,Clipper
536.362421,Clipper
341.5715694,Clipper
588.9775867,Clipper
211.8935585,Clipper
221.5800285,Clipper
783.7131138,Clipper
323.3273029,Clipper
693.2859535,Clipper
699.0494843,Clipper
127.8166771,Clipper
193.2489872,Clipper
904.2618389,Clipper
535.2034683,Clipper
348.7195969,Clipper
584.6388454,Clipper
196.7949867,Clipper
126.9373894,Clipper
779.9158211,Clipper
322.7844238,Clipper
345.0257778,Clipper
593.1687469,Clipper
194.0248013,Clipper
125.9870529,Clipper
777.4217243,Clipper
533.5972424,Clipper
567.6987286,Clipper
699.7151489,Clipper
193.600893,Clipper
125.7519722,Clipper
928.7626858,Clipper
323.3537674,Clipper
380.9998035,Clipper
638.6952515,Clipper
327.6469707,Clipper
327.1670341,Clipper
778.5334702,Clipper
